CELL/ANTIGEN,D,C,E,c,e,f,Cw,V,K,k,Kpa,Kpb,Jsa,Jsb,Fya,Fyb,Jka,Jkb,Xga,Lea,Leb,S,s,M,N,P1,Lua,Lub,Test Results at IS*,Test Results at 37C,Test Results at AHG**,Final test results
Panel A               1,"""+""","""+""","""0""","""0""","""+""","""0""","""+""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""",0,0,0,"""0"""
2,"""+""","""+""","""0""","""0""","""+""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""+""","""0""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""+""","""0""","""+""",0,0,3+,"""+"""
3,"""+""","""0""","""+""","""+""","""0""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""","""+""","""+""","""+""","""+""","""0""","""0""","""+""",0,0,0,"""0"""
4,"""+""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
5,"""0""","""+""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
6,"""0""","""0""","""+""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""+""","""+""","""+""","""+""","""+""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""+""",0,0,0,"""0"""
7,"""0""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""+""","""+""","""0""","""+""","""/""","""+""","""0""","""+""","""0""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
8,"""0""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
9,"""0""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""0""","""+""","""+""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""0""","""0""","""+""",0,0,0,"""0"""
10,"""0""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""0""","""+""","""0""","""+""","""0""","""+""",0,0,0,"""0"""
